date;Deutschland/Luxemburg [€/MWh] Original resolutions;∅ Anrainer DE/LU [€/MWh] Original resolutions;Belgien [€/MWh] Original resolutions;Dänemark 1 [€/MWh] Original resolutions;Dänemark 2 [€/MWh] Original resolutions;Frankreich [€/MWh] Original resolutions;Niederlande [€/MWh] Original resolutions;Norwegen 2 [€/MWh] Original resolutions;Österreich [€/MWh] Original resolutions;Polen [€/MWh] Original resolutions;Schweden 4 [€/MWh] Original resolutions;Schweiz [€/MWh] Original resolutions;Tschechien [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Italien (Nord) [€/MWh] Original resolutions;Slowenien [€/MWh] Original resolutions;Ungarn [€/MWh] Original resolutions
2021-01-01 00:00:00;50,87;44,17;50,87;50,87;50,87;50,87;50,87;24,95;50,87;34,18;24,95;50,98;45,54;-;50,87;50,87;45,54
2021-01-01 01:00:00;48,19;41,63;48,19;48,19;48,19;48,19;48,19;24,35;48,19;32,61;24,35;45,94;41,59;-;48,19;48,19;41,59
2021-01-01 02:00:00;44,68;39,38;44,68;44,68;44,68;44,68;44,68;23,98;44,68;32,58;23,98;44,53;40,05;-;44,68;44,68;40,05
2021-01-01 03:00:00;42,92;37,73;42,92;42,92;42,92;42,92;42,92;23,72;42,92;32,2;23,72;41,01;36,9;-;42,92;42,92;36,9
2021-01-01 04:00:00;40,39;35,7;40,39;40,39;40,39;40,39;40,39;23,73;40,39;29,16;23,73;39,23;34,47;-;40,39;40,39;34,47
2021-01-01 05:00:00;40,2;35,37;40,2;40,2;40,2;40,2;40,2;24,06;40,2;28,46;24,06;38,43;32,82;-;40,2;40,2;32,82
2021-01-01 06:00:00;39,63;35,00;39,63;39,63;39,63;39,63;39,63;24,44;39,63;28,11;24,44;39,57;30,71;-;39,63;39,63;27,7
2021-01-01 07:00:00;40,09;34,06;40,09;40,09;40,09;40,09;40,09;24,93;40,09;28,46;24,93;40,78;15,00;-;40,09;5,91;15,00
2021-01-01 08:00:00;41,27;34,28;41,27;41,27;41,27;41,27;41,27;24,9;41,27;28,46;24,9;42,72;8,43;-;41,27;41,27;8,43
2021-01-01 09:00:00;44,88;38,23;44,88;44,88;44,88;44,88;44,88;25,07;44,88;30,62;25,07;44,32;26,2;-;41,67;41,67;20,77
2021-01-01 10:00:00;45,00;39,63;45,00;45,00;45,00;45,00;45,00;25,63;45,00;32,49;30,02;46,14;31,64;-;45,00;45,00;27,7
2021-01-01 11:00:00;47,2;42,92;47,2;47,2;47,2;47,2;47,2;25,92;47,2;37,14;37,14;46,35;42,4;-;47,2;46,00;38,91
2021-01-01 12:00:00;50,78;45,61;50,78;50,78;50,78;50,78;50,78;26,13;50,78;39,05;39,05;48,9;43,88;-;48,43;46,00;41,78
2021-01-01 13:00:00;45,49;43,12;45,49;45,49;45,49;45,49;45,49;26,57;45,49;40,59;40,59;48,52;45,1;-;45,49;45,49;41,3
2021-01-01 14:00:00;44,73;42,57;44,73;44,73;44,73;44,73;44,73;27,3;44,73;40,79;40,79;48,05;43,01;-;44,73;44,73;42,74
2021-01-01 15:00:00;46,59;44,77;46,59;46,59;46,59;46,59;46,59;28,61;46,59;45,47;45,47;49,02;44,32;-;46,59;46,59;43,06
2021-01-01 16:00:00;52,99;50,34;52,99;52,99;52,99;52,99;52,99;29,35;52,99;51,72;51,72;53,73;49,33;-;52,99;52,99;49,33
2021-01-01 17:00:00;60,26;55,83;60,26;60,26;60,26;60,26;60,26;29,3;60,26;55,39;55,39;57,72;54,81;-;60,26;60,26;54,81
2021-01-01 18:00:00;60,61;55,62;60,61;60,61;60,61;60,61;60,61;28,82;60,61;53,01;53,01;58,3;55,00;-;60,61;60,61;55,00
2021-01-01 19:00:00;60,36;55,91;60,36;60,36;60,36;60,36;60,36;28,25;60,36;55,74;55,74;58,12;55,00;-;60,36;60,36;55,00
2021-01-01 20:00:00;57,4;53,89;57,4;57,4;57,4;57,4;57,4;27,32;57,4;54,94;54,94;56,46;54,74;-;57,4;57,4;54,74
2021-01-01 21:00:00;53,86;50,65;53,86;53,86;53,86;53,86;53,86;26,98;53,86;50,82;50,82;53,89;51,5;-;53,86;53,86;51,5
2021-01-01 22:00:00;53,45;49,17;53,45;53,45;53,45;53,45;53,45;26,44;53,45;45,22;45,22;52,02;51,25;-;53,45;53,45;51,25
2021-01-01 23:00:00;49,72;43,72;49,72;49,72;49,72;49,72;49,72;25,64;49,72;35,81;25,64;48,72;46,83;-;49,72;49,72;46,83
2021-01-02 00:00:00;46,69;42,54;46,69;46,69;46,69;46,69;46,69;25,59;46,69;39,3;25,59;53,24;44,1;-;46,69;0,18;44,1
