Date;Start;End;Deutschland/Luxemburg [€/MWh] Original resolutions;∅ Anrainer DE/LU [€/MWh] Original resolutions;Belgien [€/MWh] Original resolutions;Dänemark 1 [€/MWh] Original resolutions;Dänemark 2 [€/MWh] Original resolutions;Frankreich [€/MWh] Original resolutions;Niederlande [€/MWh] Original resolutions;Norwegen 2 [€/MWh] Original resolutions;Österreich [€/MWh] Original resolutions;Polen [€/MWh] Original resolutions;Schweden 4 [€/MWh] Original resolutions;Schweiz [€/MWh] Original resolutions;Tschechien [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Italien (Nord) [€/MWh] Original resolutions;Slowenien [€/MWh] Original resolutions;Ungarn [€/MWh] Original resolutions
01.01.2020;00:00;01:00;41,88;36,09;41,88;33,42;33,42;41,88;41,88;31,82;41,88;34,95;28,78;35,42;33,2;-;41,88;41,88;33,55
01.01.2020;01:00;02:00;38,6;34,1;38,6;31,77;31,77;38,6;38,6;31,77;38,6;34,67;28,45;34,04;30,4;-;38,6;38,6;30,4
01.01.2020;02:00;03:00;36,55;32,67;36,55;31,57;31,57;36,55;36,55;31,57;36,55;33,3;27,9;31,52;28,53;-;36,55;36,55;28,53
01.01.2020;03:00;04:00;32,32;30,51;32,32;31,28;31,28;32,32;32,32;31,28;32,32;31,91;27,52;28,29;27,37;-;32,32;32,32;27,37
01.01.2020;04:00;05:00;30,85;29,18;30,85;30,85;30,85;30,85;30,85;30,72;30,85;27,54;27,54;26,92;26,38;-;30,85;30,85;26,38
01.01.2020;05:00;06:00;30,14;28,59;30,14;30,14;30,14;30,14;30,14;30,27;30,14;26,62;26,55;26,96;26,5;-;30,14;30,14;26,5
01.01.2020;06:00;07:00;30,17;28,6;30,17;30,17;30,17;30,17;30,17;30,17;30,17;25,83;25,83;27,91;27,01;-;30,17;30,17;27,01
01.01.2020;07:00;08:00;30;28,46;30;30;30;30;30;30,14;30;26,02;25,07;27,63;27,4;-;30;30;27,4
01.01.2020;08:00;09:00;30,65;28,99;30,65;30,63;30,63;30,65;30,65;30,49;30,65;26,99;25,65;27,03;27,99;-;30,65;30,65;27,99
01.01.2020;09:00;10:00;30,65;29,59;30,65;30,59;30,59;30,65;30,65;30,59;30,65;31,4;26,15;27,96;27,71;-;30,65;30,65;27,71
01.01.2020;10:00;11:00;30,27;29,87;30,27;30,27;30,27;30,27;30,27;30,27;30,27;34,23;26,77;28,09;28,4;-;30,27;30,27;28,4
01.01.2020;11:00;12:00;30,34;30,05;30,34;30,34;30,34;30,34;30,34;30,34;30,34;35,04;27,4;27,36;28,98;-;30,34;30,34;28,98
01.01.2020;12:00;13:00;30,99;30,69;30,99;30,59;30,59;30,99;30,99;30,59;30,99;36,1;28,08;28,34;29,5;-;30,99;30,99;29,5
01.01.2020;13:00;14:00;30,04;30,24;30,04;30,04;30,04;30,04;30,04;30,38;30,04;36,66;28,69;27,21;29,43;-;30,04;30,04;29,43
01.01.2020;14:00;15:00;30,75;30,88;30,75;30,6;30,6;30,75;30,75;30,6;30,75;36,6;29,37;28,01;30,51;-;30,75;30,75;30,51
01.01.2020;15:00;16:00;32,11;31,79;32,11;31,09;31,09;32,11;32,11;31,09;32,11;33,26;29,97;31,09;33,32;-;32,11;32,11;33,32
01.01.2020;16:00;17:00;35,98;34,39;35,98;31,53;31,53;35,98;35,98;31,53;35,98;35,28;30,46;34,65;38,11;-;35,98;35,98;38,11
01.01.2020;17:00;18:00;40,4;37,05;40,4;31,78;31,78;40,4;40,4;31,78;40,4;36,79;30,39;40,23;41,24;-;42,7;40,4;41,24
01.01.2020;18:00;19:00;44,05;38,38;44,05;31,64;31,64;44,05;44,05;31,64;44,05;36,25;30,06;41,01;42,66;-;44,45;44,05;42,66
01.01.2020;19:00;20:00;43,15;38;49,15;31,44;31,44;46,16;38,69;31,44;44,04;37,67;29,38;41,14;42,08;-;47,38;44,04;42,08
01.01.2020;20:00;21:00;43,45;37,38;44,58;31,35;31,35;44,02;42,62;31,35;43,62;36,71;27,65;39,63;39,51;-;47,38;47,38;39,51
01.01.2020;21:00;22:00;40,68;35,75;40,68;31,07;31,07;40,68;40,68;31,07;40,68;36,78;27,33;35,96;37,5;-;42,08;42,08;37,5
01.01.2020;22:00;23:00;40,27;35,19;41,06;30,96;30,96;40,66;39,68;30,96;40,38;37,26;25,88;35,32;35,6;-;40,66;40,66;35,6
01.01.2020;23:00;00:00;34,85;32,03;38,56;30,61;30,61;36,69;31,47;30,61;35,34;35,3;24,81;31,85;31,6;-;36,69;35,34;31,6
02.01.2020;00:00;01:00;35,4;30,97;35,4;30,78;30,78;35,4;35,4;30,78;35,4;33,31;12,07;33,57;32,01;-;35,4;35,4;32,01
02.01.2020;01:00;02:00;31,98;29,36;31,98;30,64;30,64;31,98;31,98;30,64;31,98;30,71;13,13;31,7;31,5;-;31,98;31,98;31,5
02.01.2020;02:00;03:00;30,5;28,89;30,5;30,43;30,43;30,5;30,5;30,43;30,5;28,1;19,07;30,79;29,66;-;30,5;30,5;29,66
02.01.2020;03:00;04:00;28,79;27,89;28,79;28,79;28,79;28,79;28,79;29,84;28,79;28,14;21,12;29,08;28,7;-;28,79;28,79;29,94
02.01.2020;04:00;05:00;28,42;28,21;28,42;28,42;28,42;28,42;28,42;29,9;28,95;28,78;24,29;29,03;29,18;-;28,95;28,95;31,96
02.01.2020;05:00;06:00;28,75;29,82;28,75;28,75;28,75;28,75;28,75;30,44;31,02;33,76;26,27;30,29;32,01;-;31,3;31,3;35,15
02.01.2020;06:00;07:00;34,16;34,13;34,16;33,38;34,16;34,16;34,16;31,68;34,16;36,97;27,74;36,14;36,26;-;41;41;43,48
02.01.2020;07:00;08:00;42,07;39,2;42,07;31,79;42,07;42,07;42,07;31,79;42,07;41,14;28,39;41,7;41,5;-;48,21;48,21;50,47
02.01.2020;08:00;09:00;44,89;41,37;44,89;31,83;44,89;44,89;44,89;31,83;44,89;42,13;29,37;43,79;45,65;-;48,21;48,21;52,39
02.01.2020;09:00;10:00;45,26;41,95;45,26;31,74;45,26;45,26;45,26;31,74;45,26;42,58;29,95;44,22;48,01;-;48,21;48,21;53,9
02.01.2020;10:00;11:00;45,57;41,4;45,57;31,63;45,57;45,57;45,57;31,63;45,57;40,92;29,91;42,85;45;-;45,57;45,57;52,5
02.01.2020;11:00;12:00;45,09;41,25;45,09;31,32;45,09;45,09;45,09;31,32;45,09;41,62;29,96;43,02;45;-;45,71;45,71;52,53
02.01.2020;12:00;13:00;45,16;41,5;45,16;31,07;45,16;45,16;45,16;31,07;45,16;42,97;29,94;42,92;45,98;-;45,16;45,16;52,51
02.01.2020;13:00;14:00;44,9;41,63;44,9;31,06;44,9;44,9;44,9;31,06;44,9;43,46;29,94;42,57;48;-;44,9;44,9;50,08
02.01.2020;14:00;15:00;44,06;41,14;44,06;31,07;44,06;44,06;44,06;31,07;44,06;43,55;30,18;42,37;46,83;-;47,08;47,08;50,1
02.01.2020;15:00;16:00;44,84;41,79;44;31,26;44,84;43,94;43,63;31,26;44,91;43,59;30,96;41,65;51,36;-;48,46;48,46;61,94
02.01.2020;16:00;17:00;44,4;44,47;44,38;31,41;44,4;44,37;44,39;31,41;44,4;46,06;31,2;44,25;69,74;-;48,7;48,7;69,74
02.01.2020;17:00;18:00;46,05;44,27;46,05;31,4;46,05;46,05;46,05;31,4;46,05;45,81;30,98;46,06;59,99;-;50;50;73,97
02.01.2020;18:00;19:00;46,72;43,08;46,72;31,1;46,72;46,72;46,72;31,1;46,72;43,94;30,35;46,29;49,16;-;50,46;50,46;77,92
02.01.2020;19:00;20:00;45,26;42,92;45,04;30,75;45,26;46,11;44,62;30,75;45,47;44,02;29,27;45,57;55,2;-;49,7;49,7;66,9
02.01.2020;20:00;21:00;39,32;39,17;35,97;30,47;39,32;43,7;34,9;30,47;43,97;42,97;28,17;42,75;46,28;-;48;48;57,58
02.01.2020;21:00;22:00;34,06;35,37;34,37;30,1;30,1;34,76;34,19;30,1;41,94;40,27;28,02;37,47;41,5;-;48;48;56,54
